,brand,price,rating,product_type
870,l'oreal,13.29,4.6,mascara
871,maybelline,7.79,4.2,mascara
872,maybelline,10.99,4.0,mascara
873,maybelline,9.79,4.0,mascara
874,covergirl,9.99,4.8,mascara
875,pacifica,28.0,4.2,mascara
876,physicians formula,15.79,3.9,mascara
877,physicians formula,15.79,3.7,mascara
878,,9.99,4.5,mascara
879,pure anada,14.0,4.6,mascara
880,dior,20.0,,nail_polish
881,dior,20.0,,nail_polish
882,dior,20.0,,nail_polish
883,dior,20.0,,nail_polish
884,dior,20.0,,nail_polish
885,dior,20.0,,nail_polish
886,dior,20.0,,nail_polish
887,dior,20.0,,nail_polish
888,dior,20.0,,nail_polish
889,dior,20.5,,nail_polish
890,dior,20.5,,nail_polish
891,dior,20.5,,nail_polish
892,dior,0.0,,nail_polish
893,dior,20.5,,nail_polish
894,moov,14.99,,nail_polish
895,anna sui,15.0,,nail_polish
896,l'oreal,10.99,,nail_polish
897,moov,14.99,2.0,nail_polish
898,l'oreal,10.99,,nail_polish
899,l'oreal,10.99,,nail_polish
900,misa,9.39,5.0,nail_polish
901,l'oreal,10.99,5.0,nail_polish
902,salon perfect,6.99,,nail_polish
903,moov,14.99,3.0,nail_polish
904,l'oreal,10.99,,nail_polish
905,orly,13.49,5.0,nail_polish
906,orly,8.0,,nail_polish
907,orly,13.49,3.0,nail_polish
908,orly,8.0,3.0,nail_polish
909,wet n wild,1.99,5.0,nail_polish
910,maybelline,4.49,3.0,nail_polish
911,maybelline,4.49,4.0,nail_polish
912,pacifica,21.5,5.0,nail_polish
913,l'oreal,7.79,,nail_polish
914,l'oreal,8.99,,nail_polish
915,pacifica,21.5,5.0,nail_polish
916,china glaze,8.0,4.7,nail_polish
917,essie,10.0,5.0,nail_polish
918,revlon,6.99,4.0,nail_polish
919,sante,19.29,4.4,nail_polish
920,pure anada,15.0,5.0,nail_polish
921,l'oreal,7.79,,nail_polish
922,maybelline,4.49,3.3,nail_polish
923,pure anada,15.0,5.0,nail_polish
924,essie,10.0,1.5,nail_polish
925,revlon,6.99,4.8,nail_polish
926,butter london,22.0,5.0,nail_polish
927,suncoat,9.29,3.8,nail_polish
928,essie,10.0,3.4,nail_polish
929,pure anada,10.0,4.8,nail_polish
930,sinful colours,2.99,4.3,nail_polish
931,mineral fusion,10.0,4.0,nail_polish
932,covergirl,5.99,,nail_polish
933,revlon,6.99,4.4,nail_polish
934,essie,10.0,4.3,nail_polish
935,suncoat,22.49,4.0,nail_polish
936,suncoat,22.49,4.0,nail_polish
937,l'oreal,10.99,,nail_polish
938,piggy paint,11.99,4.3,nail_polish
939,suncoat,8.29,3.9,nail_polish
